County,School District,Use Elementary School District,Code Number
Schenectady,Burnt Hills-Ballston Lake,,074
Schenectady,Duanesburg,,153
Schenectady,Galway,,212
Schenectady,Mohonasen,,402
Schenectady,Niskayuna,,439
Schenectady,Schalmont,,568
Schenectady,Schenectady,,569
Schenectady,Schoharie,,572
Schenectady,Scotia-Glenville,,576
Schenectady,South Colonie,,595
Schoharie,Berne-Knox-Westerlo,,050
Schoharie,Cairo-Durham,,076
Schoharie,Canajoharie,,081
Schoharie,Charlotte Valley,,101
Schoharie,Cobleskill-Richmondville,,120
Schoharie,Duanesburg,,153
Schoharie,Fonda-Fultonville,,197
Schoharie,Gilboa-Conesville,,223
Schoharie,Greenville,,240
Schoharie,Jefferson,,310
Schoharie,Middleburgh,,393
Schoharie,Schoharie,,572
Schoharie,Sharon Springs,,579
Schoharie,Stamford,,620
Schuyler,Bradford,,057
Schuyler,Corning-Painted Post,,132
Schuyler,Dundee,,154
Schuyler,Hammondsport,,254
Schuyler,Horseheads,,287
Schuyler,Odessa Montour,,460
Schuyler,South Seneca,,607
Schuyler,Spencer-Van Etten,,613
Schuyler,Trumansburg,,643
Schuyler,Watkins Glen,,675
Seneca,Clyde-Savannah,,118
Seneca,Geneva,,219
Seneca,Lyons,,360
Seneca,Phelps-Clifton Springs (Midlakes),,493
Seneca,Romulus,,542
Seneca,Seneca Falls,,578
Seneca,South Seneca,,607
Seneca,Trumansburg,,643
Seneca,Waterloo,,671
Steuben,Addison,,001
Steuben,Alfred-Almond,,010
Steuben,Andover,,017
Steuben,Arkport,,021
Steuben,Avoca,,028
Steuben,Bath,,037
Steuben,Bradford,,057
Steuben,Campbell-Savona,,080
Steuben,Canaseraga,,083
Steuben,Canisteo-Greenwood,,086
Steuben,Corning-Painted Post,,132
Steuben,Dansville,,140
Steuben,Elmira,,182
Steuben,Hammondsport,,254
Steuben,Hornell,,286
Steuben,Jasper-Troupsburg,,308
Steuben,Naples,,420
Steuben,Penn Yan,,489
Steuben,Prattsburg,,515
Steuben,Wayland-Cohocton,,677
Steuben,Whitesville,,702
St. Lawrence,Alexandria,,009
St. Lawrence,Brasher Falls,,058
St. Lawrence,Brushton-Moira,,072
St. Lawrence,Canton,,087
St. Lawrence,Clifton-Fine,,116
St. Lawrence,Colton-Pierrepont,,124
St. Lawrence,Edwards-Knox,,724
St. Lawrence,Gouverneur,,229
St. Lawrence,Hammond,,253
St. Lawrence,Harrisville,,261
St. Lawrence,Hermon-Dekalb,,269
St. Lawrence,Heuvelton,,271
St. Lawrence,Indian River,,297
St. Lawrence,Lisbon,,345
St. Lawrence,Madrid-Waddington,,362
St. Lawrence,Massena,,380
St. Lawrence,Morristown,,410
St. Lawrence,Norwood-Norfolk,,456
St. Lawrence,Ogdensburg,,461
St. Lawrence,Parishville-Hopkinton,,480
